"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Aug-2024","EQ","46.76","47.75","45.90","47.03","46.70","46.46","46.93","56.56","30.00","23,42,764","10,99,42,651.87","6,633"
"29-Aug-2024","EQ","47.00","47.76","46.50","47.65","47.39","47.03","47.04","56.56","30.00","14,84,914","6,98,51,480.94","8,385"
"28-Aug-2024","EQ","48.48","48.69","47.50","48.32","47.65","47.65","47.93","56.56","30.00","18,31,724","8,77,96,012.51","6,851"
"27-Aug-2024","EQ","48.84","49.50","48.11","48.42","48.33","48.32","48.66","56.56","30.00","12,65,306","6,15,65,220.91","6,953"
"26-Aug-2024","EQ","49.49","50.10","48.25","49.14","48.59","48.42","48.89","56.56","30.00","12,16,376","5,94,68,453.65","8,589"
"23-Aug-2024","EQ","48.50","50.56","48.31","48.51","49.04","49.14","49.34","56.56","30.00","16,06,745","7,92,72,871.67","8,949"
"22-Aug-2024","EQ","49.09","49.28","48.22","48.87","48.64","48.51","48.78","56.56","30.00","9,48,007","4,62,44,317.66","6,256"
"21-Aug-2024","EQ","49.49","50.07","48.66","49.27","49.00","48.87","49.14","56.56","30.00","11,69,475","5,74,73,019.81","8,132"
"20-Aug-2024","EQ","51.54","51.85","48.37","50.16","49.50","49.27","49.63","56.56","30.00","20,35,297","10,10,17,138.29","12,391"
"19-Aug-2024","EQ","46.51","50.54","46.15","45.95","50.54","50.16","48.82","56.56","30.00","29,22,519","14,26,70,064.14","14,777"
"16-Aug-2024","EQ","45.09","46.00","45.00","44.29","45.98","45.95","45.58","56.56","30.00","10,89,153","4,96,39,312.11","7,793"
"14-Aug-2024","EQ","45.86","46.90","43.40","45.86","44.63","44.29","44.47","56.56","30.00","24,64,242","10,95,75,950.97","14,523"
"13-Aug-2024","EQ","49.41","51.11","44.45","49.25","45.90","45.86","47.28","56.56","30.00","39,62,318","18,73,26,446.35","19,084"
"12-Aug-2024","EQ","50.02","50.02","48.56","50.02","49.40","49.25","49.23","56.56","30.00","12,96,490","6,38,28,368.36","7,884"
"09-Aug-2024","EQ","50.39","51.00","49.10","49.59","50.35","50.02","50.06","56.56","30.00","11,31,452","5,66,40,528.74","7,241"
"08-Aug-2024","EQ","49.80","51.80","49.22","49.07","49.65","49.59","50.73","56.56","30.00","29,73,912","15,08,55,287.45","12,491"
"07-Aug-2024","EQ","50.00","50.00","47.53","47.52","49.15","49.07","48.59","56.56","30.00","12,37,517","6,01,26,340.82","7,231"
"06-Aug-2024","EQ","48.48","50.24","47.15","48.07","47.95","47.52","48.62","56.56","30.00","14,03,710","6,82,46,766.75","9,609"
"05-Aug-2024","EQ","47.50","49.50","46.90","50.43","47.84","48.07","48.28","56.56","30.00","31,72,047","15,31,44,081.48","18,351"
"02-Aug-2024","EQ","48.03","50.97","48.03","50.43","50.46","50.43","50.23","56.56","30.00","14,38,449","7,22,51,568.18","8,310"
"01-Aug-2024","EQ","51.86","52.40","50.10","51.56","50.50","50.43","51.23","56.56","30.00","16,99,742","8,70,80,374.06","9,986"
